Fim da primeira fase ... 
0.02
Fim da segunda fase ... 
86628
866.28
Total: 866.3
Suportadas = 119
Nao suportadas = 3267
TOTAL DE SOLUCOES = 3386

SUPORTADAS: 

Arvore 1
3 13 0 87
24 41 0 90
14 35 0 94
18 40 0 94
20 40 0 99
10 14 1 86
31 44 1 86
9 34 1 88
13 15 1 88
36 42 1 89
11 17 1 92
27 37 1 92
3 10 1 93
31 32 1 93
18 22 1 94
2 27 1 95
16 39 1 97
3 23 2 84
15 24 2 87
24 28 2 87
6 23 2 88
29 34 2 92
24 33 2 95
20 25 2 96
0 10 2 97
2 7 3 84
7 43 3 85
28 42 3 86
25 30 3 87
13 38 3 88
39 43 3 88
17 26 3 89
5 7 3 93
8 21 3 93
19 42 3 94
17 43 4 84
3 40 4 93
4 32 4 96
39 42 4 96
21 25 4 97
3 12 5 86
31 35 5 88
9 10 6 94
0 1 12 83
(106 3987)

Arvore 2
3 13 0 87
24 41 0 90
14 35 0 94
18 40 0 94
10 14 1 86
31 44 1 86
20 40 0 99
9 34 1 88
13 15 1 88
36 42 1 89
11 17 1 92
27 37 1 92
3 10 1 93
31 32 1 93
18 22 1 94
2 27 1 95
3 23 2 84
16 39 1 97
15 24 2 87
24 28 2 87
6 23 2 88
29 34 2 92
24 33 2 95
2 7 3 84
20 25 2 96
7 43 3 85
0 10 2 97
28 42 3 86
25 30 3 87
13 38 3 88
39 43 3 88
17 26 3 89
5 7 3 93
8 21 3 93
19 42 3 94
17 43 4 84
3 40 4 93
6 17 5 82
4 32 4 96
21 25 4 97
3 12 5 86
31 35 5 88
9 10 6 94
0 1 12 83
(107 3973)

Arvore 3
3 13 0 87
24 41 0 90
10 14 1 86
31 44 1 86
9 34 1 88
13 15 1 88
14 35 0 94
18 40 0 94
36 42 1 89
3 23 2 84
11 17 1 92
27 37 1 92
15 24 2 87
24 28 2 87
3 10 1 93
31 32 1 93
20 40 0 99
6 23 2 88
18 22 1 94
2 27 1 95
2 7 3 84
7 43 3 85
16 39 1 97
28 42 3 86
29 34 2 92
25 30 3 87
13 38 3 88
39 43 3 88
17 26 3 89
