Fim da primeira fase ... 
0
Fim da segunda fase ... 
3800
38
Total: 38
Suportadas = 14
Nao suportadas = 31
TOTAL DE SOLUCOES = 45

SUPORTADAS: 

Arvore 1
0 2 0 98
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
4 19 2 6
13 29 2 6
2 6 2 9
6 8 3 3
23 25 3 4
(58 206)

Arvore 2
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
4 19 2 6
13 29 2 6
2 6 2 9
6 8 3 3
23 25 3 4
(60 113)

Arvore 3
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
4 19 2 6
13 29 2 6
6 8 3 3
6 13 3 3
23 25 3 4
(61 107)

Arvore 4
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
13 16 3 2
22 26 3 2
6 8 3 3
6 13 3 3
23 25 3 4
(63 99)

Arvore 5
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
6 8 3 3
6 13 3 3
23 25 3 4
(65 93)

Arvore 6
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
3 11 3 3
5 18 3 3
6 8 3 3
6 13 3 3
7 16 3 3
4 14 2 5
23 25 3 4
(69 85)

Arvore 7
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
5 8 4 2
9 13 4 2
3 11 3 3
5 18 3 3
6 8 3 3
6 20 3 3
7 16 3 3
7 19 3 3
0 12 2 4
17 27 2 4
2 25 5 2
0 4 3 4
(77 77)

Arvore 8
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
5 8 4 2
9 13 4 2
3 11 3 3
5 18 3 3
6 8 3 3
6 20 3 3
7 16 3 3
7 19 3 3
2 25 5 2
0 12 2 4
17 27 2 4
4 17 6 2
(80 75)

Arvore 9
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
5 8 4 2
9 13 4 2
9 29 4 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
19 26 2 3
2 25 5 2
3 9 5 2
5 18 3 3
6 8 3 3
6 20 3 3
7 16 3 3
7 19 3 3
4 17 6 2
12 28 6 2
17 27 2 4
(88 71)

Arvore 10
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
5 8 4 2
9 13 4 2
9 29 4 2
2 25 5 2
3 9 5 2
11 14 5 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
19 26 2 3
4 17 6 2
7 29 6 2
12 28 6 2
5 18 3 3
6 8 3 3
6 20 3 3
7 19 3 3
3 27 8 2
(100 67)

Arvore 11
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
5 8 4 2
9 13 4 2
9 29 4 2
2 25 5 2
3 9 5 2
11 14 5 2
3 24 6 2
4 17 6 2
7 29 6 2
12 28 6 2
1 15 2 3
2 7 2 3
10 22 2 3
19 26 2 3
2 12 7 2
5 18 3 3
6 8 3 3
6 20 3 3
3 27 8 2
(108 65)

Arvore 12
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
5 8 4 2
9 13 4 2
9 29 4 2
2 25 5 2
3 9 5 2
11 14 5 2
3 24 6 2
4 17 6 2
7 29 6 2
12 28 6 2
2 12 7 2
2 17 7 2
1 15 2 3
10 22 2 3
19 26 2 3
3 27 8 2
6 29 8 2
9 20 8 2
5 18 3 3
(123 62)

Arvore 13
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
5 8 4 2
9 13 4 2
9 29 4 2
2 25 5 2
3 9 5 2
11 14 5 2
3 24 6 2
4 17 6 2
7 29 6 2
12 28 6 2
2 12 7 2
2 17 7 2
3 27 8 2
6 29 8 2
9 20 8 2
9 26 8 2
1 15 2 3
10 22 2 3
5 18 3 3
(129 61)

Arvore 14
1 2 98 0
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
5 8 4 2
9 13 4 2
9 29 4 2
2 25 5 2
3 9 5 2
11 14 5 2
3 24 6 2
4 17 6 2
7 29 6 2
12 28 6 2
2 12 7 2
3 27 8 2
6 29 8 2
9 20 8 2
9 26 8 2
1 15 2 3
10 22 2 3
5 18 3 3
(220 59)


NAO SUPORTADAS: 
Arvore 15
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
3 16 2 5
4 14 2 5
9 17 2 5
0 2 0 98
1 21 2 6
4 21 2 6
13 29 2 6
19 29 2 7
6 8 3 3
6 13 3 3
23 25 3 4
(59 204)

Arvore 16
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
3 16 2 5
4 14 2 5
5 21 2 5
9 17 2 5
0 2 0 98
4 21 2 6
13 29 2 6
24 28 2 6
6 8 3 3
6 13 3 3
23 25 3 4
(59 203)

Arvore 17
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
17 27 2 4
22 29 2 4
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
17 29 2 5
0 2 0 98
4 21 2 6
13 29 2 6
24 28 2 6
6 8 3 3
6 13 3 3
23 25 3 4
(59 202)

Arvore 18
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
0 2 0 98
4 19 2 6
13 17 2 7
6 8 3 3
6 13 3 3
23 25 3 4
(59 201)

Arvore 19
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
26 28 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
0 2 0 98
13 29 2 6
24 28 2 6
6 8 3 3
6 13 3 3
23 25 3 4
(59 200)

Arvore 20
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
5 21 2 5
17 29 2 5
4 19 2 6
13 16 3 2
6 8 3 3
6 13 3 3
23 25 3 4
(62 103)

Arvore 21
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
5 21 2 5
11 29 3 2
13 16 3 2
22 26 3 2
6 8 3 3
6 13 3 3
23 25 3 4
(64 96)

Arvore 22
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
1 18 2 5
2 20 2 5
3 16 2 5
4 14 2 5
6 8 3 3
6 13 3 3
23 25 3 4
(66 91)

Arvore 23
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
1 18 2 5
2 20 2 5
4 14 2 5
3 11 3 3
6 8 3 3
6 13 3 3
23 25 3 4
(67 89)

Arvore 24
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
26 28 2 3
0 12 2 4
0 16 2 4
0 24 2 4
1 20 2 4
17 27 2 4
22 29 2 4
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
4 14 2 5
3 11 3 3
5 18 3 3
6 8 3 3
6 13 3 3
7 16 3 3
23 25 3 4
(68 87)

Arvore 25
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
3 11 3 3
5 18 3 3
6 8 3 3
6 13 3 3
7 16 3 3
0 4 3 4
23 25 3 4
(70 84)

Arvore 26
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
3 11 3 3
5 18 3 3
6 13 3 3
7 16 3 3
5 8 4 2
4 14 2 5
9 25 4 3
(71 83)

Arvore 27
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
3 11 3 3
5 18 3 3
6 13 3 3
7 16 3 3
5 8 4 2
4 14 2 5
2 25 5 2
(72 82)

Arvore 28
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
0 12 2 4
0 16 2 4
1 20 2 4
17 27 2 4
22 29 2 4
3 11 3 3
5 18 3 3
6 13 3 3
7 16 3 3
5 8 4 2
0 4 3 4
2 25 5 2
(73 81)

Arvore 29
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
5 24 2 3
10 22 2 3
14 29 2 3
16 23 2 3
19 26 2 3
1 5 3 2
11 29 3 2
13 16 3 2
21 24 3 2
22 26 3 2
0 12 2 4
0 16 2 4
17 27 2 4
3 11 3 3
5 18 3 3
6 8 3 3
6 13 3 3
6 20 3 3
7 16 3 3
7 19 3 3
0 4 3 4
2 25 5 2
(74 80)

Arvore 30
0 1 2 2
5 9 2 2
11 17 2 2
17 23 2 2
19 28 2 2
1 15 2 3
2 7 2 3
