Fim da primeira fase ... 
0.01
Fim da segunda fase ... 
34702
347.02
Total: 347.03
Suportadas = 58
Nao suportadas = 136
TOTAL DE SOLUCOES = 194

SUPORTADAS: 

Arvore 1
0 2 0 97
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
5 36 3 13
15 41 3 15
13 17 3 16
33 45 3 17
10 15 3 19
29 43 3 22
14 18 3 24
25 48 3 24
16 34 3 26
18 29 3 27
26 29 3 27
34 40 3 27
23 31 3 28
31 39 4 3
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
11 21 4 6
24 34 4 6
0 22 4 8
26 46 4 8
3 17 4 9
15 23 4 10
14 38 4 12
17 37 4 12
19 42 4 12
0 18 4 13
12 30 4 13
15 25 4 14
30 49 4 16
35 36 4 16
3 7 4 17
23 38 4 18
4 17 4 19
6 44 4 19
27 47 4 19
8 24 4 23
10 44 4 27
4 21 4 28
9 18 5 4
1 28 5 5
11 20 5 5
(178 776)

Arvore 2
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
5 36 3 13
15 41 3 15
13 17 3 16
33 45 3 17
10 15 3 19
31 39 4 3
29 43 3 22
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
14 18 3 24
25 48 3 24
11 21 4 6
24 34 4 6
16 34 3 26
0 22 4 8
26 46 4 8
18 29 3 27
26 29 3 27
34 40 3 27
3 17 4 9
23 31 3 28
15 23 4 10
14 38 4 12
17 37 4 12
19 42 4 12
0 18 4 13
12 30 4 13
15 25 4 14
30 49 4 16
35 36 4 16
3 7 4 17
23 38 4 18
4 17 4 19
6 44 4 19
27 47 4 19
9 18 5 4
8 24 4 23
0 2 0 97
1 28 5 5
11 20 5 5
10 44 4 27
2 11 5 9
(179 757)

Arvore 3
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
5 36 3 13
15 41 3 15
13 17 3 16
33 45 3 17
10 15 3 19
31 39 4 3
29 43 3 22
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
14 18 3 24
25 48 3 24
11 21 4 6
24 34 4 6
16 34 3 26
0 22 4 8
26 46 4 8
18 29 3 27
26 29 3 27
34 40 3 27
3 17 4 9
23 31 3 28
15 23 4 10
14 38 4 12
17 37 4 12
19 42 4 12
0 18 4 13
12 30 4 13
15 25 4 14
30 49 4 16
35 36 4 16
3 7 4 17
23 38 4 18
4 17 4 19
6 44 4 19
27 47 4 19
9 18 5 4
8 24 4 23
1 28 5 5
2 24 5 5
11 20 5 5
10 44 4 27
2 11 5 9
(184 665)

Arvore 4
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
5 36 3 13
15 41 3 15
13 17 3 16
33 45 3 17
31 39 4 3
10 15 3 19
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
11 21 4 6
24 34 4 6
29 43 3 22
0 22 4 8
26 46 4 8
14 18 3 24
25 48 3 24
3 17 4 9
15 23 4 10
16 34 3 26
18 29 3 27
26 29 3 27
34 40 3 27
14 38 4 12
17 37 4 12
19 42 4 12
23 31 3 28
0 18 4 13
12 30 4 13
15 25 4 14
30 49 4 16
35 36 4 16
3 7 4 17
23 38 4 18
4 17 4 19
6 44 4 19
27 47 4 19
9 18 5 4
1 28 5 5
2 24 5 5
11 20 5 5
8 24 4 23
2 11 5 9
6 25 5 11
(185 649)

Arvore 5
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
5 36 3 13
15 41 3 15
13 17 3 16
31 39 4 3
33 45 3 17
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
10 15 3 19
11 21 4 6
24 34 4 6
0 22 4 8
26 46 4 8
29 43 3 22
3 17 4 9
15 23 4 10
14 18 3 24
25 48 3 24
14 38 4 12
17 37 4 12
19 42 4 12
16 34 3 26
0 18 4 13
12 30 4 13
18 29 3 27
26 29 3 27
34 40 3 27
15 25 4 14
23 31 3 28
30 49 4 16
35 36 4 16
16 42 5 3
3 7 4 17
9 18 5 4
1 28 5 5
2 24 5 5
11 20 5 5
4 17 4 19
6 44 4 19
27 47 4 19
2 11 5 9
8 24 4 23
6 25 5 11
(186 634)

Arvore 6
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
5 36 3 13
31 39 4 3
15 41 3 15
27 32 4 4
31 33 4 4
13 17 3 16
4 27 4 5
12 47 4 5
23 34 4 5
33 45 3 17
11 21 4 6
24 34 4 6
10 15 3 19
0 22 4 8
26 46 4 8
3 17 4 9
15 23 4 10
29 43 3 22
14 38 4 12
17 37 4 12
19 42 4 12
14 18 3 24
25 48 3 24
0 18 4 13
12 30 4 13
15 25 4 14
16 34 3 26
16 42 5 3
18 29 3 27
26 29 3 27
34 40 3 27
9 18 5 4
30 49 4 16
35 36 4 16
23 31 3 28
1 28 5 5
2 24 5 5
11 20 5 5
3 7 4 17
7 29 5 7
4 17 4 19
6 44 4 19
2 11 5 9
6 25 5 11
8 24 4 23
(187 622)

Arvore 7
0 1 3 3
14 42 3 4
35 48 3 10
0 12 3 12
31 39 4 3
5 36 3 13
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
15 41 3 15
11 21 4 6
24 34 4 6
13 17 3 16
33 45 3 17
0 22 4 8
26 46 4 8
3 17 4 9
10 15 3 19
15 23 4 10
14 38 4 12
17 37 4 12
19 42 4 12
29 43 3 22
16 42 5 3
0 18 4 13
12 30 4 13
9 18 5 4
15 25 4 14
14 18 3 24
25 48 3 24
1 28 5 5
2 24 5 5
11 20 5 5
30 49 4 16
35 36 4 16
16 34 3 26
7 29 5 7
12 17 5 7
3 7 4 17
26 29 3 27
34 40 3 27
23 31 3 28
2 11 5 9
4 17 4 19
6 44 4 19
6 25 5 11
8 24 4 23
(189 602)

Arvore 8
0 1 3 3
14 42 3 4
35 48 3 10
31 39 4 3
0 12 3 12
27 32 4 4
31 33 4 4
5 36 3 13
4 27 4 5
12 47 4 5
23 34 4 5
11 21 4 6
24 34 4 6
15 41 3 15
13 17 3 16
0 22 4 8
26 46 4 8
33 45 3 17
3 17 4 9
15 23 4 10
10 15 3 19
16 42 5 3
14 38 4 12
17 37 4 12
19 42 4 12
9 18 5 4
0 18 4 13
12 30 4 13
29 43 3 22
1 28 5 5
2 24 5 5
11 20 5 5
15 25 4 14
14 18 3 24
25 48 3 24
7 29 5 7
12 17 5 7
30 49 4 16
35 36 4 16
3 7 4 17
16 34 3 26
2 11 5 9
12 46 5 9
34 40 3 27
20 27 5 10
6 44 4 19
23 31 3 28
6 25 5 11
8 24 4 23
(192 575)

Arvore 9
0 1 3 3
14 42 3 4
35 48 3 10
31 39 4 3
0 12 3 12
27 32 4 4
31 33 4 4
5 36 3 13
4 27 4 5
12 47 4 5
23 34 4 5
11 21 4 6
24 34 4 6
15 41 3 15
13 17 3 16
0 22 4 8
26 46 4 8
33 45 3 17
3 17 4 9
15 23 4 10
10 15 3 19
16 42 5 3
14 38 4 12
17 37 4 12
19 42 4 12
9 18 5 4
0 18 4 13
12 30 4 13
1 28 5 5
2 24 5 5
11 20 5 5
29 43 3 22
15 25 4 14
7 29 5 7
12 17 5 7
14 18 3 24
25 48 3 24
30 49 4 16
35 36 4 16
3 7 4 17
2 11 5 9
12 46 5 9
15 43 5 9
20 27 5 10
34 40 3 27
6 44 4 19
6 25 5 11
23 31 3 28
8 24 4 23
(194 558)

Arvore 10
0 1 3 3
14 42 3 4
35 48 3 10
31 39 4 3
27 32 4 4
31 33 4 4
0 12 3 12
4 27 4 5
12 47 4 5
23 34 4 5
5 36 3 13
11 21 4 6
24 34 4 6
15 41 3 15
0 22 4 8
26 46 4 8
13 17 3 16
3 17 4 9
33 45 3 17
15 23 4 10
16 42 5 3
10 15 3 19
9 18 5 4
14 38 4 12
17 37 4 12
19 42 4 12
1 28 5 5
2 24 5 5
11 20 5 5
0 18 4 13
12 30 4 13
15 25 4 14
29 43 3 22
7 29 5 7
12 17 5 7
30 49 4 16
35 36 4 16
14 18 3 24
25 48 3 24
2 11 5 9
12 46 5 9
15 43 5 9
3 7 4 17
20 27 5 10
6 25 5 11
6 44 4 19
34 40 3 27
23 31 3 28
8 38 6 7
(196 542)

Arvore 11
0 1 3 3
14 42 3 4
31 39 4 3
35 48 3 10
27 32 4 4
31 33 4 4
4 27 4 5
12 47 4 5
23 34 4 5
0 12 3 12
11 21 4 6
24 34 4 6
5 36 3 13
0 22 4 8
26 46 4 8
15 41 3 15
3 17 4 9
13 17 3 16
16 42 5 3
15 23 4 10
33 45 3 17
9 18 5 4
1 28 5 5
2 24 5 5
11 20 5 5
14 38 4 12
17 37 4 12
19 42 4 12
