RESULTADO AO FIM DE 1H
Arvore 1
0 6 92 20 9
1 6 90 8 10
2 8 96 3 4
2 12 96 9 4
2 13 92 13 8
3 12 94 10 9
3 17 96 13 5
3 21 96 15 13
4 8 95 18 7
4 16 90 9 12
5 16 99 8 10
5 24 98 2 7
6 14 99 13 5
7 24 96 12 10
9 11 89 14 13
10 20 92 19 13
11 23 96 17 11
11 24 99 3 7
12 22 98 10 10
13 14 96 13 3
14 15 98 5 9
14 18 91 9 10
14 20 98 15 7
19 20 98 15 9
(2284, 273, 205)

Arvore 2
0 6 92 20 9
1 6 90 8 10
2 8 96 3 4
2 12 96 9 4
3 12 94 10 9
3 17 96 13 5
3 21 96 15 13
4 8 95 18 7
4 16 90 9 12
5 16 99 8 10
5 24 98 2 7
6 14 99 13 5
7 24 96 12 10
9 11 89 14 13
10 20 92 19 13
11 23 96 17 11
11 24 99 3 7
12 20 99 8 8
12 22 98 10 10
13 14 96 13 3
14 15 98 5 9
14 18 91 9 10
14 20 98 15 7
19 20 98 15 9
(2291, 268, 205)

Arvore 3
0 6 92 20 9
1 6 90 8 10
2 8 96 3 4
2 12 96 9 4
2 13 92 13 8
3 12 94 10 9
3 17 96 13 5
3 21 96 15 13
4 8 95 18 7
4 16 90 9 12
5 16 99 8 10
5 24 98 2 7
6 14 99 13 5
7 24 96 12 10
9 11 89 14 13
10 20 92 19 13
11 23 96 17 11
11 24 99 3 7
12 20 99 8 8
12 22 98 10 10
13 14 96 13 3
14 15 98 5 9
14 18 91 9 10
19 20 98 15 9
(2285, 266, 206)

RESULTADO AO FIM DE 2H
Arvore 1
0 6 92 20 9
1 6 90 8 10
2 8 96 3 4
2 12 96 9 4
2 13 92 13 8
3 12 94 10 9
3 17 96 13 5
3 21 96 15 13
4 8 95 18 7
4 16 90 9 12
5 16 99 8 10
5 24 98 2 7
6 14 99 13 5
7 24 96 12 10
9 11 89 14 13
10 20 92 19 13
11 23 96 17 11
11 24 99 3 7
12 22 98 10 10
13 14 96 13 3
14 15 98 5 9
14 18 91 9 10
14 20 98 15 7
19 20 98 15 9
(2284, 273, 205)

Arvore 2
0 6 92 20 9
1 6 90 8 10
2 8 96 3 4
2 12 96 9 4
3 12 94 10 9
3 17 96 13 5
3 21 96 15 13
4 8 95 18 7
4 16 90 9 12
5 16 99 8 10
5 24 98 2 7
6 14 99 13 5
7 24 96 12 10
9 11 89 14 13
10 20 92 19 13
11 23 96 17 11
11 24 99 3 7
