RESULTADO AO FIM DE 1H
Arvore 1
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
2 9 45 39 11
2 14 0 74 21
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
17 20 44 69 10
(480, 1051, 197)

Arvore 2
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
1 14 56 62 21
2 9 45 39 11
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
17 20 44 69 10
(536, 1039, 197)

Arvore 3
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
1 14 56 62 21
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
11 18 32 35 12
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
17 20 44 69 10
(523, 1035, 198)

Arvore 4
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
2 14 0 74 21
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
11 18 32 35 12
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
17 20 44 69 10
(467, 1047, 198)

Arvore 5
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
2 14 0 74 21
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
8 21 24 68 12
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
17 20 44 69 10
(459, 1080, 198)

Arvore 6
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
2 9 45 39 11
2 14 0 74 21
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
11 18 32 35 12
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
(468, 1017, 199)

Arvore 7
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
1 14 56 62 21
2 9 45 39 11
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
11 18 32 35 12
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
(524, 1005, 199)

Arvore 8
0 7 3 69 5
0 20 34 81 9
1 2 40 31 14
2 9 45 39 11
2 14 0 74 21
2 21 23 11 5
3 8 16 43 5
3 15 43 62 9
4 15 37 27 12
5 6 21 61 9
5 10 51 48 20
6 18 16 56 5
8 17 3 73 9
8 21 24 68 12
9 16 12 29 12
9 20 32 69 10
11 13 13 2 5
12 18 1 57 3
12 21 7 37 5
13 17 14 64 5
17 19 25 49 13
(460, 1050, 199)

Arvore 9
0 7 3 69 5
