Fim da primeira fase ... 
0
contador = 9
it = 0
125 145 ( 11570) 
109 219 ( 11570) 
124 150 ( 11576)  dentro de T maisDistante = 124 219

125 147 ( 11602) 
125 147 ( 11602) 
109 221 ( 11602) 
109 221 ( 11602) 
124 152 ( 11608) 
124 152 ( 11608) 
126 143 ( 11612) 
110 217 ( 11612)  dentro de T maisDistante = 124 217

125 148 ( 11618) 
125 148 ( 11618) 
109 222 ( 11618) 
124 153 ( 11624) 
126 145 ( 11644) 
110 219 ( 11644) 
126 145 ( 11644) 
110 219 ( 11644) 
126 145 ( 11644) 
110 219 ( 11644) 
125 150 ( 11650) 
125 150 ( 11650) 
125 150 ( 11650) 
125 150 ( 11650) 
109 224 ( 11650) 
124 155 ( 11656) 
110 220 ( 11660) 
126 146 ( 11660) 
126 146 ( 11660) 
110 220 ( 11660) 
125 151 ( 11666) 
125 151 ( 11666) 
126 147 ( 11676) 
126 147 ( 11676) 
126 147 ( 11676) 
110 221 ( 11676) 
110 221 ( 11676) 
126 147 ( 11676) 
110 221 ( 11676) 
110 221 ( 11676) 
125 152 ( 11682) 
125 152 ( 11682) 
109 226 ( 11682) 
109 226 ( 11682) 
125 152 ( 11682) 
125 152 ( 11682) 
125 152 ( 11682) 
125 152 ( 11682) 
127 143 ( 11686) 
111 217 ( 11686) 
111 217 ( 11686) 
127 143 ( 11686) 
111 217 ( 11686) 
124 157 ( 11688) 
124 157 ( 11688) 
126 148 ( 11692) 
126 148 ( 11692) 
126 148 ( 11692) 
110 222 ( 11692) 
126 148 ( 11692) 
126 148 ( 11692) 
110 222 ( 11692) 
126 148 ( 11692) 
110 222 ( 11692) 
126 148 ( 11692) 
110 222 ( 11692) 
125 153 ( 11698) 
125 153 ( 11698) 
125 153 ( 11698) 
125 153 ( 11698) 
125 153 ( 11698) 
109 227 ( 11698) 
127 144 ( 11702) 
111 218 ( 11702) 
127 144 ( 11702) 
111 218 ( 11702) 
124 158 ( 11704) 
126 149 ( 11708) 
126 149 ( 11708) 
126 149 ( 11708) 
110 223 ( 11708) 
112 214 ( 11712)  dentro de T maisDistante = 124 214

112 214 ( 11712) 
125 154 ( 11714) 
111 219 ( 11718) 
111 219 ( 11718) 
111 219 ( 11718) 
111 219 ( 11718) 
127 145 ( 11718) 
127 145 ( 11718) 
111 219 ( 11718) 
127 145 ( 11718) 
127 145 ( 11718) 
111 219 ( 11718) 
111 219 ( 11718) 
127 145 ( 11718) 
111 219 ( 11718) 
111 219 ( 11718) 
126 150 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
110 224 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
110 224 ( 11724) 
126 150 ( 11724) 
126 150 ( 11724) 
110 224 ( 11724) 
110 224 ( 11724) 
126 150 ( 11724) 
110 224 ( 11724) 
112 215 ( 11728) 
112 215 ( 11728) 
128 141 ( 11728) 
125 155 ( 11730) 
125 155 ( 11730) 
125 155 ( 11730) 
125 155 ( 11730) 
125 155 ( 11730) 
127 146 ( 11734) 
111 220 ( 11734) 
127 146 ( 11734) 
127 146 ( 11734) 
111 220 ( 11734) 
127 146 ( 11734) 
127 146 ( 11734) 
111 220 ( 11734) 
127 146 ( 11734) 
127 146 ( 11734) 
111 220 ( 11734) 
111 220 ( 11734) 
127 146 ( 11734) 
111 220 ( 11734) 
127 146 ( 11734) 
111 220 ( 11734) 
