Instâncias;Corley;;Pugliese;;Lokman and Koksalan;
;Corr.;Anticorr.;Corr.;Anticorr.;Corr.;Anticorr.
5.1;0,001;0,01;0,001;0,01;1,67;3,92
5.2;0,001;0,02;0,001;0,03;1,2;25,59
5.3;0,001;0,04;0,001;0,06;0,01;49,88
7.1;0,14;0,58;0,54;1,41;103,54;784,01
7.2;0,01;14,75;0,11;17,17;7,25;6863,44
7.3;0,001;69,63;0,01;44,56;0,19;7816,08
10.1;51,13;—;133,79;4378,98;—;—
10.2;61,96;—;52,72;6250,62;2437,3;—
10.3;0,001;—;0,36;—;3,01;—
12.1;—;—;6362,65;—;—;—
12.2;3804,97;—;697,8;—;—;—
12.3;0,01;—;5,31;—;7,51;—
15.1;—;—;—;—;—;—
15.2;—;—;—;—;—;—
15.3;0,06;—;648,42;—;2100,62;—
17.1;—;—;—;—;—;—
17.2;—;—;—;—;—;—
17.3;0,82;—;—;—;2235,08;—
20.1;—;—;—;—;—;—
20.2;—;—;—;—;—;—
20.3;0,96;—;—;—;—;—
22.1;—;—;—;—;—;—
22.2;—;—;—;—;—;—
22.3;260,11;—;—;—;—;—
25.1;—;—;—;—;—;—
25.2;—;—;—;—;—;—
25.3;3189,79;—;—;—;—;—
27.1;—;—;—;—;—;—
27.2;—;—;—;—;—;—
27.3;—;—;—;—;—;—
30.1;—;—;—;—;—;—
30.2;—;—;—;—;—;—
30.3;—;—;—;—;—;—
33.1;—;—;—;—;—;—
33.2;—;—;—;—;—;—
33.3;—;—;—;—;—;—
35.1;—;—;—;—;—;—
35.2;—;—;—;—;—;—
35.3;—;—;—;—;—;—
38.1;—;—;—;—;—;—
38.2;—;—;—;—;—;—
38.3;—;—;—;—;—;—
40.1;—;—;—;—;—;—
40.2;—;—;—;—;—;—
40.3;—;—;—;—;—;—
42.1;—;—;—;—;—;—
42.2;—;—;—;—;—;—
42.3;—;—;—;—;—;—
45.1;—;—;—;—;—;—
45.2;—;—;—;—;—;—
45.3;—;—;—;—;—;—
48.1;—;—;—;—;—;—
48.2;—;—;—;—;—;—
48.3;—;—;—;—;—;—
50.1;—;—;—;—;—;—
50.2;—;—;—;—;—;—
50.3;—;—;—;—;—;—
