Instâncias;PLU;;;KLU;;;CR;;;CBB;;
;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;0,001;0,001;0,001;0,001;0,001;0,001;0,04;0,04;0,03;0,001;0,001;0,001
5.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,04;0,001;0,001;0,001
5.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001
7.1;0,001;0,001;0,001;0,001;0,001;0,001;0,09;0,07;0,07;0,001;0,01;0,01
7.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,12;0,001;0,001;0,001;0,001
7.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,03
10.1;0,001;0,001;0,001;0,001;0,001;0,001;0,1;0,11;0,11;0,01;0,001;0,001
10.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,27;0,01;0,001;0,78
10.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0.1;0,26;0,01;0,001;43,11
12.1;0,001;0,001;0,001;0,001;0,001;0,001;0,15;0,13;0,15;0,001;0,02;0,15
12.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,35;0,001;0,07;3,41
12.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0.1;0,39;0.03;0,01;3982,42
15.1;0,001;0,01;0,001;0,001;0,01;0,001;0,21;0,24;0,16;0,03;0,22;0,04
15.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,5;0,66;0,02;0,14;858,34
15.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,74;0,58;0,26;0,05;—
17.1;0,001;0,001;0,001;0,01;0,001;0,001;0,2;0,24;0,26;0,05;0,06;4,55
17.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,7;0,68;0,8;5,77;—
17.3;0,001;0,001;0,001;0,01;0,001;0,001;0,001;0.6;0,78;0,1;0,05;—
20.1;0,01;0,001;0,01;0,001;0,001;0,001;0,29;0,32;0,4;0,45;0,39;2710,76
20.2;0,001;0,001;0,01;0,001;0,001;0,01;0,001;1,11;0,93;0,23;5,35;—
20.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;1,3;1,15;0,08;0,21;—
22.1;0,01;0,001;0,01;0,01;0,001;0,001;0,42;0,51;0,64;0,18;8,97;3152,37
22.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;1,36;1,07;0,34;172,11;—
22.3;0,01;0,001;0,001;0,001;0,001;0,001;0,001;1,2;1,5;0,25;0,21;—
25.1;0,01;0,01;0,001;0,001;0,01;0,01;0,75;0,48;0,68;0,23;0,49;—
25.2;0,001;0,001;0,001;0,001;0,001;0,01;0,001;1,42;1,74;0,73;725,36;—
25.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;1,84;2,46;0,25;1,41;—
27.1;0,01;0,01;0,01;0,01;0,01;0,01;0,78;0,81;0,58;84,04;2,37;—
27.2;0,001;0,001;0,001;0,01;0,001;0,01;0,001;0,01;2,55;1;168,64;—
27.3;0,001;0,01;0,01;0,01;0,01;0,01;0,001;2,75;2,59;0,35;1,91;—
30.1;0,01;0,02;0,01;0,01;0,02;0,01;1,19;0,91;0,79;35,66;0,23;—
