Instâncias;PLL;;;KLL;;;OPTPL;;;OPTKL;;
;Conc.;Corr.;A--icorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001
5.2;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001
5.3;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001
7.1;0,001;0,001;0,001;0,01;0,01;0,01;0,001;0,001;0,001;0,001;0,001;0,001
7.2;0,001;0,001;0,001;0,02;0,01;0,01;0,001;0,001;0,001;0,001;0,001;0,001
7.3;0,001;0,001;0,001;0,02;0,02;0,01;0,001;0,001;0,001;0,001;0,001;0,001
10.1;0,001;0,001;0,001;0,3;0,2;0,16;0,001;0,001;0,001;0,001;0,001;0,001
10.2;0,001;0,001;0,001;0,44;0,22;0,28;0,001;0,01;0,001;0,001;0,001;0,001
10.3;0,001;0,001;0,001;0,6;0,26;0,25;0,01;0,001;0,001;0,001;0,001;0,001
12.1;0,01;0,01;0,01;1,42;0,66;0,79;0,01;0,01;0,01;0,01;0,001;0,01
12.2;0,01;0,01;0,01;1,31;1,1;1,16;0,01;0,01;0,01;0,02;0,01;0,01
12.3;0,02;0,01;0,01;1,43;1,07;1,07;0,001;0,01;0,01;0,01;0,01;0,01
15.1;0,06;0,03;0,03;10,32;4,75;4,65;0,05;0,05;0,05;0,05;0,05;0,06
15.2;0,03;0,04;0,03;12,45;4,89;5,72;0,05;0,05;0,05;0,05;0,06;0,06
15.3;0,04;0,04;0,04;21,25;4,74;6,65;0,05;0,04;0,05;0,03;0,06;0,05
17.1;0,2;0,05;0,05;46,1;17,74;13,32;0,03;0,09;0,1;0,1;0,14;0,13
17.2;0,06;0,06;0,06;38,4;24,63;14,92;0,09;0,13;0,1;0,15;0,15;0,17
17.3;0,08;0,06;0,06;34,09;17,74;15,12;0,14;0,1;0,12;0,11;0,12;0,16
20.1;0,22;0,12;0,12;231,67;49,23;43,55;0,14;0,26;0,25;0,16;0,42;0,4
20.2;0,28;0,16;0,12;203,96;78,86;50,65;0,25;0,31;0,31;0,35;0,48;0,49
