Instâncias;CLY;;;PGL;;;LMKS;;
;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;0;0;0;0;0;0;0,04;0,16;0,06
5.2;0;0;0;0;0;0;0,05;0,04;0,22
5.3;0;0;0,02;0;0;0,03;0,03;0,03;1,24
7.1;0,01;0,01;0,1;0,08;0,06;0,11;1,38;1,01;2
7.2;0,01;0;0,28;0,09;0;0,32;2,36;0,17;6,91
7.3;0,01;0;15,75;0,05;0;1,94;1,77;0,16;NT
10.1;1,1;0,2;5,18;11,09;6,4;11,78;669,86;20,09;95,24
10.2;0,16;0,01;1 138,62;7,99;1,52;39,71;3 256,33;12,77;7 438,96
10.3;1,05;0;NT;17,21;0,35;627,18;NT;1,16;NT
12.1;1;184,99;7204.77;139,6;230,22;444,74;NT;448;NT
12.2;2,48;0,02;NT;160,49;16,9;1 883,89;NT;232,44;NT
12.3;6,7;0;NT;247,34;3,63;27 132,7;NT;0,61;NT
15.1;30 370,6;10,72;NT;NT;NT;NT;NT;12660;NT
15.2;27310;0,16;NT;NT;6 513,85;NT;NT;2 667,1;NT
15.3;13 789,7;0,02;NT;NT;340,84;NT;NT;245,63;NT
17.1;NT;NT;NT;NT;NT;NT;NT;6 932,4;NT
17.2;NT;79,97;NT;NT;NT;NT;NT;131289;NT
17.3;NT;0,09;NT;NT;NT;NT;NT;165,8;NT
20.1;NT;NT;NT;NT;NT;NT;NT;NT;NT
20.2;NT;33,64;NT;NT;NT;NT;NT;NT;NT
20.3;NT;0,12;NT;NT;NT;NT;NT;NT;NT
22.1;NT;NT;NT;NT;NT;NT;NT;NT;NT
22.2;NT;1 890,46;NT;NT;NT;NT;NT;NT;NT
22.3;NT;0,13;NT;NT;NT;NT;NT;NT;NT
25.1;NT;NT;NT;NT;NT;NT;NT;NT;NT
