N° de Vértices;Conjunto Pareto ótimo;;Superconjunto do PLS;;Superconjunto do KLS;
;Corr.;Anticorr.;Corr.;Anticorr.;Corr.;Anticorr.
6;1;6;1;15;1;8
12;2;26;2;336;2;170
18;3;50;4;;4;3314
20;8;100;15;;15;3941
24;10;;24;;18;
27;8;;81;;27;
30;5;;8;;6;
33;17;;336;;252;
36;14;;210;;72;
38;15;;189;;40;
40;17;;168;;48;
42;8;;48;;32;
44;19;;10856;;480;
48;17;;102;;64;
50;19;;1168;;256;
52;18;;194;;120;
55;22;;21780;;552;
58;15;;432;;96;
60;;;;;;
63;;;;;;
66;;;;;;
68;;;;;;
70;;;;;;
75;;;;;;
77;;;;;;
80;;;;;;
82;;;;;;
86;;;;;;
90;;;;;;
93;;;;;;
96;;;;;;
100;;;;;;
