N° de Vértices;CLY;;PGL;;KMKS;
;Corr.;Anticorr.;Corr.;Anticorr.;Corr.;Anticorr.
6;0;0;0;0;0,03;0,14
12;0;0,22;0,02;0,5;0,22;2,41
18;0;1075,46;3,28;73,7;0,87;123,08
20;0;2210,45;18,88;3410,31;4,32;280,41
24;0,01;NT;;;341,12;NT
27;0,07;;;;985,82;
30;0,02;;;;653,94;
33;0,16;;;;48725,3;
36;2,71;;;;NT;
38;0,23;;;;;
40;0,17;;;;;
42;0,18;;;;;
44;310,86;;;;;
48;0,5;;;;;
50;5,26;;;;;
52;0,73;;;;;
55;8678,31;;;;;
58;1,15;;;;;
60;6281,08;;;;;
63;;;;;;
66;;;;;;
68;;;;;;
70;;;;;;
75;;;;;;
77;;;;;;
80;;;;;;
82;;;;;;
86;;;;;;
90;;;;;;
93;;;;;;
96;;;;;;
100;;;;;;
