Instâncias;PLL;;;KLL;;;OPTPL;;;OPTKL;;;PLU;;;KLU;;;CR;;;CBB;;
;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,04;0,03;0;0;0
7.1;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0,07;0,07;0;0,01;0,01
10.1;0;0;0;0,3;0,2;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,11;0,11;0,01;0;0
12.1;0,01;0,01;0,01;1,42;0,66;0,79;0,01;0,01;0,01;0,01;0;0,01;0;0;0;0;0;0;0,15;0,13;0,15;0;0,02;0,15
15.1;0,06;0,03;0,03;10,32;4,75;4,65;0,05;0,05;0,05;0,05;0,05;0,06;0;0,01;0;0;0,01;0;0,21;0,24;0,16;0,03;0,22;0,04
17.1;0,2;0,05;0,05;46,1;17,74;13,32;0,03;0,09;0,1;0,1;0,14;0,13;0;0;0;0,01;0;0;0,2;0,24;0,26;0,05;0,06;4,55
20.1;0,22;0,12;0,12;231,67;49,23;43,55;0,14;0,26;0,25;0,16;0,42;0,4;0,01;0;0,01;0;0;0;0,29;0,32;0,4;0,45;0,39;NT
22.1;0,24;0,21;0,2;161,22;109,51;69,22;0,28;0,48;0,49;0,7;0,87;0,94;0,01;0;0,01;0,01;0;0;0,42;0,51;0,64;0,18;8,97;3152,37
25.1;0,55;0,4;0,38;846,74;299,19;237,04;0,56;1,14;1,15;1,05;2,06;2,05;0,01;0,01;0;0;0,01;0,01;0,75;0,48;0,68;;0,49;
27.1;1,98;0,6;0,59;3324,28;594,39;376,23;3,8;1,89;1,91;1,24;3,55;3,39;0,01;0,01;0,01;0,01;0,01;0,01;0,78;0,81;0,58;;2,37;
30.1;5,89;1,26;1,01;23475;1294,72;1135,59;3,19;3,86;3,86;3,21;7,44;6,59;0,01;0,02;0,01;0,01;0,02;0,01;1,19;0,91;0,79;;0,23;
33.1;9,02;1,63;1,63;23942,8;1288,38;2140,57;12,34;8,45;7,56;5,72;13,82;15,3;0,01;0,02;0,02;0,01;0,02;0,02;1,34;1,15;1,13;;51,16;
35.1;2,59;2,26;2,16;5047,79;4043,3;3456,21;11,4;11,22;11,02;16,22;23,13;23,39;0,02;0,02;0,02;0,01;0,02;0,02;1,1;1,38;1,36;;129,74;
38.1;4,93;3,4;3,77;12657,8;7207,91;5383,96;11,83;19,4;12,5;24,64;36,74;37,46;0,03;0,02;0,03;0,02;0,03;0,02;1,86;1,61;2,1;;1,05;
40.1;34,26;4,36;4,34;NT;NT;10467,3;17,56;27,53;27,84;44,16;55,94;49,46;0,03;0,04;0,03;0,02;0,04;0,03;1,89;2,5;2,12;;;
42.1;14,58;5,23;5,36;NT;8373,93;NT;85,28;39,15;40,14;45,95;74,38;73,35;0,04;0,04;0,03;0,03;0,02;0,03;2,36;1,97;3,42;;;
45.1;57,23;7,5;8,56;NT;NT;NT;8,24;63,54;66,9;25,4;134,66;117,2;0,05;0,04;0,04;0,04;0,04;0,03;3,37;2,54;3,3;;;
48.1;35734,8;11,05;12,42;NT;NT;NT;380,77;97,73;92,03;188,9;198,55;197,43;0,06;0,08;0,05;0,05;0,05;0,06;4,45;3,09;3,53;;;
50.1;38,93;14,74;13,88;NT;NT;NT;136,33;135,81;136,64;139,54;237,34;294,22;0,06;0,07;0,07;0,06;0,05;0,05;2,36;3,69;2,96;;;
