N° de Vértices;PLL;;KLL;;OPTPL;;OPTKL;;PLU;;KLU;;CR;;CBB;
;Corr.;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01
18;0;0;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0;0,05
20;0;0;0,09;0,08;0;0;0;0;0;0;0;0;0;0,23;0,01;0,13
24;0;0;0,26;0,24;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,12
27;0,01;0,01;0,45;0,46;0;0;0;0;0;0;0;0;0,01;0,01;0,02;100,85
30;0,01;0,01;1,02;0,61;0;0;0,01;0,01;0;0;0;0;0,01;0,01;0,02;2,58
33;0,02;0,02;1,03;1,04;0,01;0;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,1;6,5
36;0,02;0,02;1,44;1,48;0,01;0,01;0,02;0,02;0;0;0,01;0,01;0,01;0,01;0,06;1406,79
38;0,02;0,02;1,47;1,85;0;0;0,02;0,02;0;0;0,01;0,01;0,01;0,01;0,04;843,67
40;0,03;0,03;2,78;2,73;0,01;0,02;0,04;0,04;0;0;0,01;0,01;0,01;0,01;0,09;610,03
42;0,03;0,03;3,48;3,7;0,01;0,02;0,04;0,04;0;0;0,01;0,01;0,01;0,01;0,09;1150,33
44;0,04;0,04;4,12;4,07;0,02;0,02;0,05;0,05;0;0;0,01;0,01;0,01;0,01;1,08;235,42
48;0,05;0,05;8,88;6,12;0,04;0,03;0,07;0,07;0,01;0;0,01;0,01;0,01;0,92;0,35;
50;0,06;0,06;9,04;9,25;0,04;0,04;0,09;0,09;0;0;0,01;0,01;0,01;0,01;0,62;
52;0,05;0,05;6,64;5,33;0,02;0,02;0,06;0,06;0;0;0,01;0,01;0,01;0,01;0,29;
55;0,08;0,08;11,48;10,8;0,06;0,06;0,13;0,14;0;0,01;0,01;0,02;0,01;0,01;1,12;
58;0,07;0,07;10,02;8,19;0,02;0,03;0,1;0,1;0,01;0,02;0,01;0,02;0,01;0,01;1,67;
60;0,1;0,11;17,1;18,1;0,1;0,1;0,18;0,2;0,01;0,02;0,01;0,02;0,01;0,01;21,68;
63;0,1;0,11;17,38;18,88;0,05;0,05;0,19;0,19;0,01;0,02;0,01;0,02;0,01;0,01;1,73;
66;0,15;0,14;34,54;28,44;0,13;0,12;0,28;0,28;0,01;0,02;0,01;0,02;0,01;1,53;4,99;
68;0,11;0,1;17,09;19,48;0,06;0,03;0,19;0,18;0,01;0,01;0,01;0,02;0,01;0,01;2,63;
70;0,18;0,18;32,81;34,43;0,16;0,17;0,36;0,36;0,01;0,02;0,01;0,02;0,01;0,01;20,14;
75;0,22;0,21;48,97;44,22;0,2;0,14;0,43;0,44;0,01;0,01;0,01;0,02;0,01;0,01;266,02;
77;0,24;0,24;68,46;58,37;0,17;0,19;0,54;0,52;0,01;0,01;0,01;0,02;0,01;0,01;NT;
80;0,28;0,27;74,58;62,44;0,25;0,22;0,64;0,62;0,02;0,01;0,01;0,01;0,01;0,01;NT;
82;0,19;0,21;37,44;38,51;0,09;0,08;0,36;0,38;0,01;0,02;0,01;0,02;0,01;0,01;NT;
86;0,22;0,22;49,44;66,19;0,08;0,1;0,46;0,46;0,01;0,01;0,01;0,01;0,01;0,01;NT;
90;0,42;0,4;98,59;117,84;0,37;0,35;1,02;1,04;0,02;0,01;0,02;0,01;0,01;0,01;NT;
93;0,36;0,34;92,32;105,43;0,22;0,21;0,85;0,84;0,01;0,01;0,01;0,01;0,01;0,01;NT;
96;0,3;0,29;76,95;117,5;0,08;0,08;0,71;0,72;0,01;0,01;0,01;0,01;0,02;0,03;NT;
100;0,56;0,54;265,01;185,46;0,49;0,46;1,62;1,51;0,01;0,01;0,01;0,01;0,03;0,04;NT;
