Instâncias;CLY;;;PGL;;;LMKS;;
;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.;Conc.;Corr.;Anticorr.
5.1;0,001;0,001;0,001;0,001;0,001;0,001;0,04;0,16;0,06
5.2;0,001;0,001;0,001;0,001;0,001;0,001;0,05;0,04;0,22
5.3;0,001;0,001;0,02;0,001;0,001;0,03;0,03;0,03;1,24
7.1;0,01;0,01;0,1;0,08;0,06;0,11;1,38;1,01;2
7.2;0,01;0,001;0,28;0,09;0,001;0,32;2,36;0,17;6,91
7.3;0,01;0,001;15,75;0,05;0,001;1,94;1,77;0,16;NT
10.1;1,1;0,2;5,18;11,09;6,4;11,78;669,86;20,09;95,24
10.2;0,16;0,01;1138,62;7,99;1,52;39,71;3256,33;12,77;7438,96
10.3;1,05;0,001;NT;17,21;0,35;627,18;4467;1,16;NT
12.1;1;184,99;7204.77;139,6;230,22;444,74;NT;448;NT
12.2;2,48;0,02;NT;160,49;16,9;1883,89;NT;232,44;NT
12.3;6,7;0,001;NT;247,34;3,63;27132,7;NT;0,61;NT
15.1;30370,6;10,72;NT;NT;NT;NT;NT;12660;NT
15.2;27310;0,16;NT;NT;6513,85;NT;NT;2667,1;NT
15.3;13789,7;0,02;NT;NT;340,84;NT;NT;245,63;NT
17.1;NT;NT;NT;NT;NT;NT;NT;6932,4;NT
17.2;NT;79,97;NT;NT;NT;NT;NT;131289;NT
17.3;11674,7;0,09;NT;NT;NT;NT;NT;165,8;NT
20.1;NT;NT;NT;NT;NT;NT;NT;NT;NT
20.2;9670,51;33,64;NT;NT;NT;NT;NT;NT;NT
20.3;NT;0,12;NT;NT;NT;NT;NT;NT;NT
22.1;NT;NT;NT;NT;NT;NT;NT;NT;NT
22.2;NT;1890,46;NT;NT;NT;NT;NT;NT;NT
22.3;NT;0,13;NT;NT;NT;NT;NT;NT;NT
25.1;NT;NT;NT;NT;NT;NT;NT;NT;NT
25.2;;;;;;;;;
25.3;;0,22;;;;;;;
27.1;;;;;;;;;
27.2;;;;;;;;;
27.3;;5,59;;;;;;;
30.1;;;;;;;;;
30.2;;;;;;;;;
30.3;;54,16;;;;;;;
33.1;;;;;;;;;
33.2;;;;;;;;;
33.3;;57,96;;;;;;;
35.1;;;;;;;;;
35.2;;;;;;;;;
35.3;;680,7;;;;;;;
38.1;;;;;;;;;
38.2;;;;;;;;;
38.3;;;;;;;;;
40.1;;;;;;;;;
40.2;;;;;;;;;
40.3;;;;;;;;;
42.1;;;;;;;;;
42.2;;;;;;;;;
42.3;;;;;;;;;
45.1;;;;;;;;;
45.2;;;;;;;;;
45.3;;;;;;;;;
48.1;;;;;;;;;
48.2;;;;;;;;;
48.3;;;;;;;;;
50.1;;;;;;;;;
50.2;;;;;;;;;
50.3;;;;;;;;;
