N° de Vértices;Conjunto Pareto ótimo;;Superconjunto do PLS;;Superconjunto do KLS;
;Corr.;Anticorr.;Corr.;Anticorr.;Corr.;Anticorr.
6;1;6;1;15;1;8
12;2;26;2;336;2;170
18;3;50;4;NT;4;3314
20;8;100;15;NT;15;3941
24;10;158;24;NT;18;NT
27;8;160;81;;27;
30;5;159;8;;6;
33;17;321;336;;252;
36;14;239;210;;72;
38;15;171;189;;40;
40;17;348;168;;48;
42;8;313;48;;32;
44;19;480;10856;;480;
48;17;395;102;;64;
50;19;475;1168;;256;
52;18;241;194;;120;
55;22;544;21780;;552;
58;15;326;432;;96;
60;;;;;;
63;;;;;;
66;;;;;;
68;;;;;;
70;;;;;;
75;;;;;;
77;;;;;;
80;;;;;;
82;;;;;;
86;;;;;;
90;;;;;;
93;;;;;;
96;;;;;;
100;;;;;;
