N° de Vértices;RA;;SR;;SS;;PLS;;KLS;
;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,;Corr,;Anticorr,
6;0,001;0,0010;0,001;0,001;0,0168;0,0538;0,001;0,001;0,001;0,001
12;0,001;0,001;0,001;0,02;0,0517;0,0594;0,001;0,18;0,04;1,98
18;0,03;0,54;0,001;0,08;0,0550;0,0701;0,001;NT;0,26;960,73
20;0,12;1,95;0,001;0,08;0,0524;0,0861;0,01;NT;0,37;533,22
24;0,14;2957,96;0,001;0,45;0,0565;0,1542;0,03;;1,44;
27;1,56;31282,3;0,001;0,29;0,0546;0,1830;0,26;;7,24;
30;0,24;36783,12;0,001;0,31;0,0525;0,1805;0,13;;16,4;
33;39,23;NT;0,02;0,95;0,0593;0,4194;0,48;;30,13;
36;642,74;;0,02;0,79;0,0531;0,3732;6,95;;67,75;
38;755,33;;0,02;0,32;0,0590;0,1984;0,89;;24,74;
40;2558,6;;0,01;1,06;0,0580;0,6972;0,98;;86,6;
42;828,73;;0,01;1,25;0,0546;0,7207;1,21;;166,86;
44;75261;;0,03;2,12;0,0594;1,4568;459;;664,46;
48;NT;;0,02;1,67;0,0582;1,1965;3,14;;675,63;
50;;;0,04;2,92;0,0607;1,9056;15,01;;802,28;
52;;;0,03;0,86;0,0599;0,4989;3,86;;407,59;
55;;;0,09;4,33;0,0658;1,8081;6801;;3328,25;
58;;;0,07;1,34;0,0605;0,6980;7;;1146,45;
60;;;0,21;4,3;0,0701;4,1126;;;;
63;;;0,04;4,64;0,0602;3,2605;;;;
66;;;0,06;5,51;0,0698;4,5812;;;;
68;;;0,06;4,78;0,0699;1,9109;;;;
70;;;0,12;8,98;0,0725;6,5888;;;;
75;;;0,34;8,07;0,0875;5,8326;;;;
77;;;0,3;8,92;0,0875;9,8286;;;;
80;;;0,18;13,16;0,0865;10,7651;;;;
82;;;0,06;5,18;0,0671;5,1546;;;;
86;;;0,05;8,54;0,0722;4,9191;;;;
90;;;0,76;25,97;0,1347;27,7057;;;;
93;;;0,14;11,20;0,0783;10,2247;;;;
96;;;0,21;8,53;0,0843;7,0400;;;;
100;;;0,29;27,16;0,0903;24,5149;;;;
