Tempo em segundos: 54.79
RESULTADO FINAL
SUPORTADAS
Arvore 1
0 4 1 2
1 15 1 9
1 16 5 18
2 4 4 5
3 6 4 16
3 7 0 14
4 18 0 14
4 21 2 2
4 26 4 17
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 16 0 11
13 21 6 16
14 23 2 13
15 20 5 18
17 18 2 16
18 19 2 9
22 24 4 14
25 26 7 18
(78, 274)

Arvore 2
0 4 1 2
1 15 1 9
1 16 5 18
2 4 4 5
3 6 4 16
3 7 0 14
4 6 6 6
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 16 0 11
13 21 6 16
14 23 2 13
15 20 5 18
17 18 2 16
18 19 2 9
22 24 4 14
25 26 7 18
(80, 263)

Arvore 3
0 4 1 2
1 15 1 9
1 16 5 18
2 4 4 5
3 6 4 16
3 7 0 14
3 20 6 13
4 6 6 6
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 16 0 11
13 21 6 16
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
25 26 7 18
(81, 258)

Arvore 4
0 4 1 2
1 15 1 9
2 4 4 5
3 6 4 16
3 7 0 14
3 20 6 13
4 6 6 6
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 21 6 16
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
25 26 7 18
(84, 247)

Arvore 5
0 4 1 2
1 15 1 9
2 4 4 5
3 7 0 14
3 20 6 13
4 6 6 6
4 7 8 7
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 21 6 16
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
25 26 7 18
(88, 238)

Arvore 6
0 4 1 2
0 25 11 12
1 15 1 9
2 4 4 5
3 7 0 14
3 20 6 13
4 6 6 6
4 7 8 7
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 21 6 16
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
(92, 232)

Arvore 7
0 4 1 2
0 25 11 12
1 15 1 9
2 4 4 5
3 7 0 14
3 20 6 13
4 6 6 6
4 7 8 7
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 26 13 12
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
(99, 228)

Arvore 8
0 4 1 2
0 25 11 12
1 15 1 9
2 3 9 9
2 4 4 5
3 20 6 13
4 6 6 6
4 7 8 7
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 26 13 12
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
(108, 223)

Arvore 9
0 4 1 2
0 25 11 12
1 15 1 9
2 3 9 9
2 4 4 5
3 20 6 13
4 6 6 6
4 7 8 7
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 26 13 12
14 23 2 13
17 18 2 16
18 19 2 9
18 26 8 10
22 24 4 14
(116, 219)

Nao Suportada
Arvore 10
0 4 1 2
1 15 1 9
1 16 5 18
2 4 4 5
3 6 4 16
3 7 0 14
3 20 6 13
4 18 0 14
4 21 2 2
4 26 4 17
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 16 0 11
13 21 6 16
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
25 26 7 18
(79, 269)

Arvore 11
0 4 1 2
0 25 11 12
1 15 1 9
2 4 4 5
3 18 7 12
3 20 6 13
4 6 6 6
4 7 8 7
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 26 13 12
14 23 2 13
17 18 2 16
18 19 2 9
18 26 8 10
22 24 4 14
(114, 222)

Arvore 12
0 4 1 2
0 25 11 12
1 15 1 9
2 4 4 5
3 18 7 12
3 20 6 13
4 6 6 6
4 7 8 7
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 26 13 12
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
(106, 226)

Arvore 13
0 4 1 2
0 25 11 12
1 15 1 9
2 4 4 5
3 7 0 14
3 18 7 12
3 20 6 13
4 6 6 6
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
9 24 2 2
10 18 6 7
11 16 0 1
12 15 8 7
12 16 0 11
13 21 6 16
14 23 2 13
17 18 2 16
18 19 2 9
22 24 4 14
(91, 237)

Arvore 14
0 4 1 2
1 15 1 9
2 4 4 5
3 7 0 14
3 18 7 12
3 20 6 13
4 6 6 6
4 18 0 14
4 21 2 2
5 6 0 9
5 24 4 6
6 26 2 10
8 9 5 6
8 14 7 14
9 16 3 7
